DATA_EXIBICAO,PUBLICO,PUBLICO_ACUM
2024-09-19,374,374
2024-09-20,373,747
2024-09-21,376,1123
2024-09-22,368,1491
2024-09-23,382,1873
2024-09-24,376,2249
2024-09-25,376,2625
2024-10-19,633,3258
2024-10-21,474,3732
2024-11-07,51317,55049
2024-11-08,64836,119885
2024-11-09,129850,249735
2024-11-10,117409,367144
2024-11-11,73609,440753
2024-11-12,76783,517536
2024-11-13,76058,593594
2024-11-14,66934,660528
2024-11-15,155834,816362
2024-11-16,145783,962145
2024-11-17,112564,1074709
2024-11-18,67726,1142435
2024-11-19,95346,1237781
2024-11-20,169637,1407418
2024-11-21,53724,1461142
2024-11-22,81376,1542518
2024-11-23,142437,1684955
2024-11-24,125388,1810343
2024-11-25,61782,1872125
2024-11-26,60454,1932579
2024-11-27,63217,1995796
2024-11-28,36645,2032441
2024-11-29,51725,2084166
2024-11-30,82615,2166781
2024-12-01,79117,2245898
2024-12-02,40020,2285918
2024-12-03,42148,2328066
2024-12-04,42911,2370977
2024-12-05,25445,2396422
2024-12-06,32737,2429159
2024-12-07,57967,2487126
2024-12-08,50297,2537423
2024-12-09,32796,2570219
2024-12-10,37522,2607741
2024-12-11,39188,2646929
2024-12-12,22225,2669154
2024-12-13,26429,2695583
2024-12-14,44831,2740414
2024-12-15,42499,2782913
2024-12-16,24944,2807857
2024-12-17,27424,2835281
2024-12-18,21891,2857172
2024-12-19,14794,2871966
2024-12-20,15969,2887935
2024-12-21,25528,2913463
2024-12-22,27037,2940500
2024-12-23,21578,2962078
2024-12-24,1520,2963598
2024-12-25,5261,2968859
2024-12-26,15476,2984335
2024-12-27,14689,2999024
2024-12-28,16407,3015431
2024-12-29,13765,3029196
2024-12-30,14359,3043555
2024-12-31,703,3044258
2025-01-01,5233,3049491
2025-01-02,10547,3060038
2025-01-03,10699,3070737
2025-01-04,14542,3085279
2025-01-05,12422,3097701
2025-01-06,20748,3118449
2025-01-07,28354,3146803
2025-01-08,31749,3178552
2025-01-09,37640,3216192
2025-01-10,40265,3256457
2025-01-11,56246,3312703
2025-01-12,45257,3357960
2025-01-13,34055,3392015
2025-01-14,34330,3426345
2025-01-15,34434,3460779
2025-01-16,21414,3482193
2025-01-17,26413,3508606
2025-01-18,40993,3549599
2025-01-19,31205,3580804
2025-01-20,22125,3602929
2025-01-21,21003,3623932
2025-01-22,20421,3644353
2025-01-23,31112,3675465
2025-01-24,49419,3724884
2025-01-25,80314,3805198
2025-01-26,60842,3866040
2025-01-27,44908,3910948
2025-01-28,43685,3954633
2025-01-29,39587,3994220
2025-01-30,30996,4025216
2025-01-31,38438,4063654
2025-02-01,69128,4132782
2025-02-02,50359,4183141
2025-02-03,23170,4206311
2025-02-04,24550,4230861
2025-02-05,24869,4255730
2025-02-06,60654,4316384
2025-02-07,91427,4407811
2025-02-08,147985,4555796
2025-02-09,133354,4689150
2025-02-10,72746,4761896
2025-02-11,102998,4864894
2025-02-12,116592,4981486
2025-02-13,14355,4995841
2025-02-14,21996,5017837
2025-02-15,43818,5061655
2025-02-16,37529,5099184
2025-02-17,13888,5113072
2025-02-18,15226,5128298
2025-02-19,17726,5146024
2025-02-20,9668,5155692
2025-02-21,13987,5169679
2025-02-22,27649,5197328
2025-02-23,22601,5219929
2025-02-24,11511,5231440
2025-02-25,13222,5244662
2025-02-26,16485,5261147
2025-02-27,13752,5274899
2025-02-28,24966,5299865
2025-03-01,40579,5340444
2025-03-02,35696,5376140
2025-03-03,68290,5444430
2025-03-04,67114,5511544
2025-03-05,43044,5554588
2025-03-06,17864,5572452
2025-03-07,25365,5597817
2025-03-08,51449,5649266
2025-03-09,35656,5684922
2025-03-10,12856,5697778
2025-03-11,13113,5710891
2025-03-12,14087,5724978
2025-03-13,6149,5731127
2025-03-14,9738,5740865
2025-03-15,24510,5765375
2025-03-16,23090,5788465
2025-03-17,7144,5795609
2025-03-18,7203,5802812
2025-03-19,8340,5811152
2025-03-20,2382,5813534
2025-03-21,3083,5816617
2025-03-22,8182,5824799
2025-03-23,7187,5831986
2025-03-24,2758,5834744
2025-03-25,2738,5837482
2025-03-26,3086,5840568
2025-03-27,906,5841474
2025-03-28,1763,5843237
2025-03-29,2773,5846010
2025-03-30,2490,5848500
2025-03-31,2243,5850743
2025-04-01,2151,5852894
2025-04-02,1492,5854386
2025-04-03,182,5854568
2025-04-04,327,5854895
2025-04-05,89,5854984
2025-04-08,33,5855017
2025-04-09,130,5855147
2025-04-10,131,5855278
2025-04-11,161,5855439
2025-04-12,43,5855482
2025-04-15,35,5855517
2025-04-18,85,5855602
2025-04-23,148,5855750
2025-04-24,30,5855780
2025-04-27,21,5855801
2025-05-05,70,5855871
2025-05-07,33,5855904
2025-05-09,46,5855950
2025-05-12,71,5856021
2025-05-13,36,5856057
2025-05-16,231,5856288
2025-05-17,131,5856419
2025-05-19,41,5856460
2025-05-20,64,5856524
2025-05-21,41,5856565
2025-06-06,34,5856599
2025-06-10,50,5856649
2025-06-13,89,5856738
2025-06-25,40,5856778
2025-06-30,40,5856818
2025-07-01,31,5856849
2025-07-04,110,5856959
2025-07-08,37,5856996
2025-07-26,70,5857066
2025-08-02,41,5857107
2025-08-14,41,5857148
2025-08-15,33,5857181
2025-08-25,53,5857234
2025-09-03,72,5857306
2025-11-04,100,5857406
2025-11-25,75,5857481
2026-03-12,31,5857512
2026-04-12,100,5857612
