UF,Publico,Filme
RR,10453,Ainda Estou Aqui
AC,11561,Ainda Estou Aqui
RO,13621,Ainda Estou Aqui
TO,15861,Ainda Estou Aqui
AP,17902,Ainda Estou Aqui
MT,40588,Ainda Estou Aqui
MS,47927,Ainda Estou Aqui
PI,48171,Ainda Estou Aqui
SE,53073,Ainda Estou Aqui
AL,57698,Ainda Estou Aqui
MA,60481,Ainda Estou Aqui
AM,69536,Ainda Estou Aqui
ES,76875,Ainda Estou Aqui
PB,77376,Ainda Estou Aqui
RN,77548,Ainda Estou Aqui
PA,99654,Ainda Estou Aqui
GO,106991,Ainda Estou Aqui
CE,190324,Ainda Estou Aqui
SC,206475,Ainda Estou Aqui
PE,207863,Ainda Estou Aqui
DF,221294,Ainda Estou Aqui
BA,259573,Ainda Estou Aqui
PR,283228,Ainda Estou Aqui
RS,327588,Ainda Estou Aqui
MG,474165,Ainda Estou Aqui
RJ,860985,Ainda Estou Aqui
SP,1940801,Ainda Estou Aqui
RR,2245,O Agente Secreto
AC,2843,O Agente Secreto
RO,4201,O Agente Secreto
AP,6106,O Agente Secreto
TO,6260,O Agente Secreto
MT,13420,O Agente Secreto
MS,16489,O Agente Secreto
PI,17995,O Agente Secreto
MA,19865,O Agente Secreto
AM,22608,O Agente Secreto
SE,25533,O Agente Secreto
AL,25889,O Agente Secreto
ES,27156,O Agente Secreto
PA,32768,O Agente Secreto
PB,34697,O Agente Secreto
GO,39295,O Agente Secreto
RN,40811,O Agente Secreto
SC,73792,O Agente Secreto
CE,86211,O Agente Secreto
PR,100308,O Agente Secreto
RS,118640,O Agente Secreto
DF,120921,O Agente Secreto
BA,135320,O Agente Secreto
MG,166717,O Agente Secreto
PE,179252,O Agente Secreto
RJ,360835,O Agente Secreto
SP,796292,O Agente Secreto
