ANO,Estrangeiro,Nacional,pct_nacional,pct_estrangeiro
2014,137729990,19215788,12.24358389557953,87.75641610442048
2015,147877722,21364697,12.623724670349931,87.37627532965007
2016,154877760,29973046,16.21472291551707,83.78527708448293
2017,163535638,18272692,10.050525187707295,89.9494748122927
2018,139070631,24215737,14.830225754056825,85.16977424594317
2019,153393184,25869494,14.431054075851751,85.56894592414825
2020,30637980,8712762,22.141290245556235,77.85870975444377
2021,52292987,731184,1.3789635673889178,98.62103643261109
2022,92980268,4461552,4.578682951529435,95.42131704847057
2023,113468615,3555734,3.038456552319723,96.96154344768027
2024,114916906,13219718,10.31689269416057,89.68310730583943
2025,103874844,11548531,10.005365897505596,89.9946341024944
2026,47845851,2572739,5.102758724510146,94.89724127548985
