ANO,Registros,Publico_Total,Publico_Medio_por_Sessao,Var_Pct_YoY
2014,1393699,156945948,112.61107886279605,
2015,1517512,169242519,111.52631346572548,7.834908232227833
2016,1723763,184850806,107.23678719174272,9.222438363730578
2017,1792235,181808330,101.44223832254141,-1.6459089715843644
2018,1814115,163286368,90.008829649719,-10.187631116792062
2019,1868900,179262678,95.91881748622184,9.784227670493607
2020,590505,39350742,66.63913430030229,-78.04855844003401
2021,1176195,53024171,45.08110559898656,34.74757604316585
2022,1735671,97441820,56.140720217137925,83.76868164520668
2023,1942344,117024349,60.24903364182658,20.096637152302787
2024,2094078,128136624,61.1899957881225,9.495694780579388
2025,2168368,115423375,53.2305286740996,-9.921635675370998
2026,926130,50418590,54.44007860667509,-56.31856198971828
