ANO_MES,PUBLICO
2014-01,14324086
2014-02,9139070
2014-03,13673856
2014-04,14853021
2014-05,12848996
2014-06,16275204
2014-07,15370153
2014-08,12740849
2014-09,10531191
2014-10,12214314
2014-11,12582201
2014-12,12393007
2015-01,16526507
2015-02,15219840
2015-03,11273175
2015-04,19563991
2015-05,12486565
2015-06,14275114
2015-07,21844763
2015-08,11310631
2015-09,9313812
2015-10,13109400
2015-11,11470346
2015-12,12848375
2016-01,19391639
2016-02,18090008
2016-03,17551564
2016-04,13965432
2016-05,16346760
2016-06,14864450
2016-07,22544602
2016-08,13794562
2016-09,10381851
2016-10,11561511
2016-11,12570925
2016-12,13787502
2017-01,20689607
2017-02,13792639
2017-03,18285850
2017-04,20296172
2017-05,12140350
2017-06,13955474
2017-07,22543004
2017-08,10397434
2017-09,11198466
2017-10,10694998
2017-11,13044589
2017-12,14769747
2018-01,17584679
2018-02,13124060
2018-03,12307985
2018-04,20265468
2018-05,16596646
2018-06,9325163
2018-07,20404977
2018-08,8790280
2018-09,10803276
2018-10,10525695
2018-11,10901669
2018-12,12656470
2019-01,19700353
2019-02,7842303
2019-03,14029782
2019-04,18735046
2019-05,18153205
2019-06,15226543
2019-07,26449685
2019-08,13981898
2019-09,10095283
2019-10,15415285
2019-11,10079980
2019-12,9553315
2020-01,20461444
2020-02,11301282
2020-03,3220974
2020-04,1648
2020-05,21577
2020-06,36653
2020-07,54207
2020-08,48496
2020-09,141654
2020-10,614055
2020-11,1519683
2020-12,1929069
2021-01,1583805
2021-02,1285552
2021-03,237871
2021-04,158537
2021-05,1498442
2021-06,3761778
2021-07,6801397
2021-08,4144943
2021-09,4105383
2021-10,6764239
2021-11,7316315
2021-12,15365909
2022-01,8781844
2022-02,4199740
2022-03,7357700
2022-04,7764462
2022-05,11302803
2022-06,8630260
2022-07,14065450
2022-08,4870404
2022-09,7078845
2022-10,6709390
2022-11,8249749
2022-12,8431173
2023-01,10596333
2023-02,8523105
2023-03,6156308
2023-04,10313027
2023-05,12789746
2023-06,11495604
2023-07,18846207
2023-08,8171108
2023-09,7260153
2023-10,9692566
2023-11,6610298
2023-12,6569894
2024-01,10507202
2024-02,8667328
2024-03,7468809
2024-04,5668764
2024-05,7145953
2024-06,16838086
2024-07,23099458
2024-08,9807141
2024-09,5464626
2024-10,8595815
2024-11,10625030
2024-12,14248412
2025-01,13054961
2025-02,8893407
2025-03,6479311
2025-04,9151098
2025-05,12357405
2025-06,11512574
2025-07,13874589
2025-08,8345392
2025-09,9471424
2025-10,4851855
2025-11,6736807
2025-12,10694552
2026-01,11877394
2026-02,8419683
2026-03,5931015
2026-04,10324632
2026-05,13777257
2026-06,88609
