Pais,Publico,Pct
ESTADOS UNIDOS,1312644036,90.37844575767431
CANADÁ,44646760,3.0740281951929753
FRANÇA,21340335,1.469329274618438
"CHINA, REPUBLICA POPULAR",15999920,1.1016298876073425
REINO UNIDO,9369237,0.6450926944182568
JAPÃO,8606803,0.5925974268339178
ESPANHA,7749177,0.53354797946236
ALEMANHA,6326006,0.43555950772149954
AUSTRÁLIA,5909282,0.40686713842944794
BÉLGICA,5471376,0.37671634157780237
CORÉIA DO SUL,3103128,0.21365722765308814
ARGENTINA,2916775,0.20082641134617588
RÚSSIA,2528950,0.17412380213554748
ITÁLIA,680714,0.04686866480037054
BRASIL,641455,0.044165595800176996
EMIRADOS ÁRABES UNIDOS,491264,0.033824613192161804
DINAMARCA,411674,0.02834466562025717
ÁFRICA DO SUL,351680,0.024213945999339386
IRLANDA,260112,0.017909286629265712
CHILE,244550,0.016837808502440987
"BELARUS, REPUBLICA DA",212782,0.014650511424111218
POLÔNIA,206913,0.01424641779049508
MÉXICO,191907,0.01321322149367386
IRÃ,191531,0.01318733306187293
PERU,186855,0.012865380117454962
COLÔMBIA,170626,0.011747977565068478
NORUEGA,167946,0.011563453636274604
PAISES BAIXOS (HOLANDA),152988,0.010533562245640737
LÍBANO,104351,0.007184797199093108
"HUNGRIA, REPUBLICA DA",99436,0.006846388575950612
PORTUGAL,97673,0.006725002125777627
SUÉCIA,83339,0.005738074515579348
FINLANDIA,80737,0.005558921059339922
ÁUSTRIA,67034,0.004615439195062888
ISRAEL,64207,0.004420793991070246
REPÚBLICA TCHECA,63788,0.004391944914143143
CUBA,52043,0.0035832756814252148
INDIA,42881,0.0029524517129142177
UCRÂNIA,39757,0.002737357401887329
CROÁCIA (HRVATSKA),36720,0.0025282532333250176
GRECIA,31012,0.002135244805878961
REPÚBLICA DOMINICANA,27928,0.0019229045833415333
URUGUAI,26805,0.001845583548999921
PANAMÁ,22415,0.0015433223372815978
CINGAPURA,21157,0.0014567062542880556
BUTÃO,20278,0.0013961851597321545
VENEZUELA,16720,0.0011512089885946158
BULGÁRIA,16122,0.001110035365677177
SUÍÇA,14592,0.0010046914809553012
MALASIA,13384,0.0009215180085735848
CORÉIA DO NORTE,12159,0.0008371740485838477
TURQUIA,12110,0.0008338002901842583
ARGÉLIA,11556,0.0007956561646052262
PARAGUAI,11301,0.0007780988504849136
ROMÊNIA,11181,0.0007698365850165311
ESTÔNIA,10572,0.0007279055877644904
SÉRVIA,10488,0.0007221220019366227
LUXEMBURGO,9535,0.000656505843675219
TAILÂNDIA,8516,0.000586345439406205
AFEGANISTÃO,7669,0.0005280276156418726
CAMBOJA,7406,0.0005099194838236677
EGITO,6866,0.0004727392892159469
ESLOVÊNIA,6524,0.000449191832631057
TUNÍSIA,6181,0.00042557552383393064
NOVA ZELÂNDIA,4299,0.00029599566040479987
ISLANDIA,4298,0.00029592680819256334
GUATEMALA,4128,0.00028422193211235494
ESLOVÁQUIA,4086,0.00028133013919842106
TERRITÓRIOS PALESTINOS OCUPADOS,3528,0.0002429106047704429
ARÁBIA SAUDITA,3040,0.00020931072519902107
IÊMEN,2604,0.00017929116066389832
FILIPINAS,2588,0.00017818952526811398
HONG KONG,2081,0.00014328145366419832
JORDANIA,1744,0.00012007825814049104
FORMOSA (TAIWAN),1600,0.00011016353957843216
BÓSNIA-HERZEGÓVINA,985,6.781942905297229e-05
COSTA RICA,883,6.079650340484724e-05
"CABO VERDE, REPUBLICA DE",361,2.4855648617383753e-05
ALBÂNIA,320,2.203270791568643e-05
MACEDÔNIA (REPÚBLICA YUGOSLAVA),198,1.3632738022830977e-05
CONGO,190,1.3081920324938817e-05
