UF,PUBLICO,PCT
AC,4316188,0.27092717473741706
AP,5313165,0.3335074334954197
RR,5815322,0.3650278346652986
TO,5862534,0.3679913324957228
RO,8146415,0.5113505714274993
PI,11494142,0.7214874370835294
SE,12160796,0.7633333170005762
AL,15547283,0.9759031483413313
PB,15707280,0.985946162032223
MS,15936533,1.0003363757092167
RN,18073751,1.134489576296854
MA,20696951,1.299147873102089
MT,22734756,1.4270609184364864
ES,27987733,1.7567903504192066
AM,32158106,2.0185647157830893
PA,33246599,2.086889435005573
GO,43088673,2.704676543068658
CE,48337594,3.0341513798806545
DF,50894946,3.1946763969024063
SC,55612122,3.4907735934145028
PE,58544803,3.6748580164600475
BA,59400713,3.728583497863893
RS,69507860,4.3630092414519295
PR,85423520,5.3620354186901125
MG,108837399,6.831724896329582
RJ,221908907,13.929224867540116
SP,536363323,33.66753249236657
