MES,ORIGEM,PUBLICO
1,Estrangeiro,11406736.3
1,Nacional,3708974.8
2,Estrangeiro,9180974.6
2,Nacional,1568175.4
3,Estrangeiro,10032601.7
3,Nacional,1425832.3
4,Estrangeiro,12358307.0
4,Nacional,1699341.1
5,Estrangeiro,12525074.0
5,Nacional,691768.9
6,Estrangeiro,12725412.1
6,Nacional,514435.1
7,Estrangeiro,18706112.1
7,Nacional,1198174.9
8,Estrangeiro,9214947.5
8,Nacional,1006019.7
9,Estrangeiro,8020136.5
9,Nacional,1139756.2
10,Estrangeiro,8966749.9
10,Nacional,1370320.5
11,Estrangeiro,9214957.0
11,Nacional,1072202.4
12,Estrangeiro,9820547.1
12,Nacional,1774697.6
