Título,Público,Estreia,origem
NADA A PERDER,12173228,2018-03-28,Nacional
OS DEZ MANDAMENTOS,11297688,2016-01-28,Nacional
MINHA MÃE É UMA PEÇA 3,10938240,2019-12-26,Nacional
MINHA MÃE É UMA PEÇA 2,9239171,2016-12-22,Nacional
NADA A PERDER 2,6189465,2019-08-14,Nacional
AINDA ESTOU AQUI,5857612,2024-09-19,Nacional
MINHA VIDA EM MARTE,5234820,2018-12-25,Nacional
O AUTO DA COMPADECIDA 2,4442196,2024-12-25,Nacional
LOUCAS PRA CASAR,3732799,2015-01-01,Nacional
DE PERNAS PRO AR 3,3587914,2019-04-11,Nacional
INSIDE OUT 2,22473802,2024-06-20,Estrangeiro
AVENGERS: ENDGAME,19656475,2019-04-25,Estrangeiro
SPIDER-MAN: NO WAY HOME,17889180,2021-12-15,Estrangeiro
THE LION KING,16249801,2014-11-22,Estrangeiro
AVENGERS: INFINITY WAR,14481596,2018-04-26,Estrangeiro
AVATAR: THE WAY OF WATER,11783058,2022-12-14,Estrangeiro
BARBIE,10930464,2023-07-20,Estrangeiro
LILO & STITCH,10420384,2015-09-19,Estrangeiro
THE AVENGERS: AGE OF ULTRON,10013145,2015-04-22,Estrangeiro
FURIOUS SEVEN,9948437,2015-04-02,Estrangeiro
