Título,Público,Estreia,origem
AINDA ESTOU AQUI,5857612,2024-09-19,Nacional
O AUTO DA COMPADECIDA 2,4442196,2024-12-25,Nacional
O AGENTE SECRETO,2476469,2025-09-10,Nacional
MINHA IRMÃ E EU,2301323,2023-12-25,Nacional
OS FAROFEIROS 2,1913522,2024-03-07,Nacional
NOSSO LAR 2 - OS MENSAGEIROS,1649559,2024-01-25,Nacional
CHICO BENTO E A GOIABEIRA MARAVIOSA,997770,2025-01-09,Nacional
MAMONAS ASSASSINAS O FILME,882155,2023-12-28,Nacional
TURMA DA MÔNICA: LIÇÕES,763827,2022-01-01,Nacional
VITÓRIA,736887,2025-03-13,Nacional
INSIDE OUT 2,22473802,2024-06-20,Estrangeiro
AVATAR: THE WAY OF WATER,11783058,2022-12-14,Estrangeiro
BARBIE,10930464,2023-07-20,Estrangeiro
LILO & STITCH,10418672,2025-05-22,Estrangeiro
MOANA 2,9110198,2024-11-28,Estrangeiro
DOCTOR STRANGE IN THE MULTIVERSE OF MADNESS,8489568,2022-05-04,Estrangeiro
DESPICABLE ME 4,7945610,2024-07-03,Estrangeiro
ZOOTOPIA 2,7903541,2025-11-27,Estrangeiro
DEADPOOL & WOLVERINE,7463600,2024-07-24,Estrangeiro
MINIONS: THE RISE OF GRU,6981730,2022-06-30,Estrangeiro
